,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
477,73.33,13.45,4300.0,0,183.33,154.0
478,73.33,13.45,4500.0,0,183.33,154.0
479,73.33,13.45,4700.0,0,183.33,154.0
480,73.33,13.45,4900.0,0,183.33,154.0
481,73.33,13.45,5100.0,0,183.33,154.0
482,73.33,13.45,5300.0,0,183.33,154.0
483,73.33,13.45,5500.0,0,183.33,154.0
487,73.33,14.2,4100.0,0,183.33,154.0
488,73.33,14.2,4300.0,0,183.33,154.0
489,73.33,14.2,4500.0,0,183.33,154.0
490,73.33,14.2,4700.0,0,183.33,154.0
491,73.33,14.2,4900.0,0,183.33,154.0
492,73.33,14.2,5100.0,0,183.33,154.0
493,73.33,14.2,5300.0,0,183.33,154.0
494,73.33,14.2,5500.0,0,183.33,154.0
