relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-186.61149187550052,14.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,16.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,18.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,20.0,520,73.33,2000.0,171.6,2000.0,0
-184.74406566923875,6.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,8.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,10.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,12.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,14.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,16.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,18.0,520,51.33,2000.0,177.47,2000.0,0
-184.74406566923875,20.0,520,51.33,2000.0,177.47,2000.0,0
-183.85472525883037,6.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,8.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,10.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,12.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,14.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,16.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,18.0,520,66.0,2000.0,171.6,2000.0,0
-183.85472525883037,20.0,520,66.0,2000.0,171.6,2000.0,0
-182.84310460063844,6.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,8.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,10.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,12.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,14.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,16.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,18.0,520,44.0,2000.0,177.47,2000.0,0
-182.84310460063844,20.0,520,44.0,2000.0,177.47,2000.0,0
-181.35249901779682,6.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,8.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,10.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,12.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,14.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,16.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,18.0,520,58.67,2000.0,171.6,2000.0,0
-181.35249901779682,20.0,520,58.67,2000.0,171.6,2000.0,0
-181.22836919202248,6.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,8.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,10.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,12.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,14.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,16.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,18.0,520,73.33,2000.0,165.73,2000.0,0
-181.22836919202248,20.0,520,73.33,2000.0,165.73,2000.0,0
-179.11261513360805,6.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,8.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,10.0,520,51.33,2000.0,171.6,2000.0,0
-179.11261513360805,12.0,520,51.33,2000.0,171.6,2000.0,0
