relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-110.00000000000001,11.2,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,11.95,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,12.7,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,13.45,1039,73.33,2500.0,183.33,4000.0,0
-110.00000000000001,14.2,1039,73.33,2500.0,183.33,4000.0,0
-110.0,8.2,1039,44.0,2500.0,154.0,5000.0,0
-110.0,8.95,1039,44.0,2500.0,154.0,4600.0,0
-110.0,9.7,1039,44.0,2500.0,154.0,4400.0,0
-110.0,10.45,1039,44.0,2500.0,154.0,4200.0,0
-110.0,11.2,1039,44.0,2500.0,154.0,4000.0,0
-110.0,11.95,1039,44.0,2500.0,154.0,4000.0,0
-110.0,12.7,1039,44.0,2500.0,154.0,4000.0,0
-110.0,13.45,1039,44.0,2500.0,154.0,4000.0,0
-110.0,14.2,1039,44.0,2500.0,154.0,4000.0,0
-108.54,8.2,1039,51.33,2500.0,159.87,4800.0,0
-108.54,8.95,1039,51.33,2500.0,159.87,4400.0,0
-108.54,9.7,1039,51.33,2500.0,159.87,4400.0,0
-108.54,10.45,1039,51.33,2500.0,159.87,4000.0,0
-108.54,11.2,1039,51.33,2500.0,159.87,4000.0,0
-108.54,11.95,1039,51.33,2500.0,159.87,4000.0,0
-108.54,12.7,1039,51.33,2500.0,159.87,4000.0,0
-108.54,13.45,1039,51.33,2500.0,159.87,4000.0,0
-108.54,14.2,1039,51.33,2500.0,159.87,4000.0,0
-107.05999999999999,8.2,1039,58.67,2500.0,165.73,4800.0,0
-107.05999999999999,8.95,1039,58.67,2500.0,165.73,4600.0,0
-107.05999999999999,9.7,1039,58.67,2500.0,165.73,4200.0,0
-107.05999999999999,10.45,1039,58.67,2500.0,165.73,4200.0,0
-107.05999999999999,11.2,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,11.95,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,12.7,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,13.45,1039,58.67,2500.0,165.73,4000.0,0
-107.05999999999999,14.2,1039,58.67,2500.0,165.73,4000.0,0
-105.6,8.2,1039,66.0,2500.0,171.6,4800.0,0
-105.6,8.95,1039,66.0,2500.0,171.6,4600.0,0
-105.6,9.7,1039,66.0,2500.0,171.6,4200.0,0
-105.6,10.45,1039,66.0,2500.0,171.6,4000.0,0
-105.6,11.2,1039,66.0,2500.0,171.6,4000.0,0
-105.6,11.95,1039,66.0,2500.0,171.6,4000.0,0
-105.6,12.7,1039,66.0,2500.0,171.6,4000.0,0
-105.6,13.45,1039,66.0,2500.0,171.6,4000.0,0
-105.6,14.2,1039,66.0,2500.0,171.6,4000.0,0
-104.14,8.2,1039,73.33,2500.0,177.47,4600.0,0
-104.14,8.95,1039,73.33,2500.0,177.47,4400.0,0
-104.14,9.7,1039,73.33,2500.0,177.47,4200.0,0
-104.14,10.45,1039,73.33,2500.0,177.47,4000.0,0
-104.14,11.2,1039,73.33,2500.0,177.47,4000.0,0
-104.14,11.95,1039,73.33,2500.0,177.47,4000.0,0
-104.14,12.7,1039,73.33,2500.0,177.47,4000.0,0
-104.14,13.45,1039,73.33,2500.0,177.47,4000.0,0
-104.14,14.2,1039,73.33,2500.0,177.47,4000.0,0
-102.67,8.2,1039,51.33,2500.0,154.0,4600.0,0
-102.67,8.95,1039,51.33,2500.0,154.0,4400.0,0
-102.67,9.7,1039,51.33,2500.0,154.0,4200.0,0
-102.67,10.45,1039,51.33,2500.0,154.0,4000.0,0
-102.67,11.2,1039,51.33,2500.0,154.0,4000.0,0
-102.67,11.95,1039,51.33,2500.0,154.0,4000.0,0
-102.67,12.7,1039,51.33,2500.0,154.0,4000.0,0
-102.67,13.45,1039,51.33,2500.0,154.0,4000.0,0
-102.67,14.2,1039,51.33,2500.0,154.0,4000.0,0
-101.2,8.2,1039,58.67,2500.0,159.87,4600.0,0
-101.2,8.95,1039,58.67,2500.0,159.87,4400.0,0
-101.2,9.7,1039,58.67,2500.0,159.87,4200.0,0
-101.2,10.45,1039,58.67,2500.0,159.87,4000.0,0
-101.2,11.2,1039,58.67,2500.0,159.87,4000.0,0
-101.2,11.95,1039,58.67,2500.0,159.87,4000.0,0
-101.2,12.7,1039,58.67,2500.0,159.87,4000.0,0
-101.2,13.45,1039,58.67,2500.0,159.87,4000.0,0
