,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
610,58.67,8.95,8200.0,0,183.33,154.0
611,58.67,8.95,8400.0,0,183.33,154.0
612,58.67,8.95,8600.0,0,183.33,154.0
613,58.67,8.95,8800.0,0,183.33,154.0
614,58.67,8.95,9000.0,0,183.33,154.0
615,58.67,8.95,9200.0,0,183.33,154.0
616,58.67,8.95,9400.0,0,183.33,154.0
617,58.67,8.95,9600.0,0,183.33,154.0
618,58.67,8.95,9800.0,0,183.33,154.0
619,58.67,8.95,10000.0,0,183.33,154.0
626,58.67,9.7,5200.0,0,183.33,154.0
627,58.67,9.7,5400.0,0,183.33,154.0
628,58.67,9.7,5600.0,0,183.33,154.0
629,58.67,9.7,5800.0,0,183.33,154.0
630,58.67,9.7,6000.0,0,183.33,154.0
631,58.67,9.7,6200.0,0,183.33,154.0
632,58.67,9.7,6400.0,0,183.33,154.0
633,58.67,9.7,6600.0,0,183.33,154.0
634,58.67,9.7,6800.0,0,183.33,154.0
635,58.67,9.7,7000.0,0,183.33,154.0
636,58.67,9.7,7200.0,0,183.33,154.0
637,58.67,9.7,7400.0,0,183.33,154.0
638,58.67,9.7,7600.0,0,183.33,154.0
639,58.67,9.7,7800.0,0,183.33,154.0
640,58.67,9.7,8000.0,0,183.33,154.0
641,58.67,9.7,8200.0,0,183.33,154.0
642,58.67,9.7,8400.0,0,183.33,154.0
643,58.67,9.7,8600.0,0,183.33,154.0
644,58.67,9.7,8800.0,0,183.33,154.0
645,58.67,9.7,9000.0,0,183.33,154.0
646,58.67,9.7,9200.0,0,183.33,154.0
647,58.67,9.7,9400.0,0,183.33,154.0
648,58.67,9.7,9600.0,0,183.33,154.0
649,58.67,9.7,9800.0,0,183.33,154.0
650,58.67,9.7,10000.0,0,183.33,154.0
656,58.67,10.45,5000.0,0,183.33,154.0
657,58.67,10.45,5200.0,0,183.33,154.0
658,58.67,10.45,5400.0,0,183.33,154.0
659,58.67,10.45,5600.0,0,183.33,154.0
660,58.67,10.45,5800.0,0,183.33,154.0
661,58.67,10.45,6000.0,0,183.33,154.0
662,58.67,10.45,6200.0,0,183.33,154.0
663,58.67,10.45,6400.0,0,183.33,154.0
664,58.67,10.45,6600.0,0,183.33,154.0
665,58.67,10.45,6800.0,0,183.33,154.0
666,58.67,10.45,7000.0,0,183.33,154.0
667,58.67,10.45,7200.0,0,183.33,154.0
668,58.67,10.45,7400.0,0,183.33,154.0
669,58.67,10.45,7600.0,0,183.33,154.0
670,58.67,10.45,7800.0,0,183.33,154.0
671,58.67,10.45,8000.0,0,183.33,154.0
672,58.67,10.45,8200.0,0,183.33,154.0
673,58.67,10.45,8400.0,0,183.33,154.0
