relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-222.93,13.45,520,51.33,4000.0,171.6,5400.0,0
-222.93,14.2,520,51.33,4000.0,171.6,5200.0,0
-221.47,8.95,520,44.0,5500.0,177.47,7600.0,0
-221.47,9.7,520,44.0,4000.0,177.47,7000.0,0
-221.47,10.45,520,44.0,4000.0,177.47,6600.0,0
-221.47,11.2,520,44.0,4000.0,177.47,6200.0,0
-221.47,11.95,520,44.0,4000.0,177.47,5800.0,0
-221.47,12.7,520,44.0,4000.0,177.47,5600.0,0
-221.47,13.45,520,44.0,4000.0,177.47,5400.0,0
-221.47,14.2,520,44.0,4000.0,177.47,5200.0,0
-220.0,8.95,520,66.0,5500.0,154.0,7600.0,0
-220.0,9.7,520,66.0,4000.0,154.0,7000.0,0
-220.0,10.45,520,66.0,4000.0,154.0,6600.0,0
-220.0,11.2,520,66.0,4000.0,154.0,6200.0,0
-220.0,11.95,520,66.0,4000.0,154.0,5800.0,0
-220.0,12.7,520,66.0,4000.0,154.0,5600.0,0
-220.0,13.45,520,66.0,4000.0,154.0,5400.0,0
-220.0,14.2,520,66.0,4000.0,154.0,5200.0,0
-218.54000000000002,8.95,520,58.67,5500.0,159.87,7600.0,0
-218.54000000000002,9.7,520,58.67,4000.0,159.87,7000.0,0
-218.54000000000002,10.45,520,58.67,4000.0,159.87,6400.0,0
-218.54000000000002,11.2,520,58.67,4000.0,159.87,6200.0,0
-218.54000000000002,11.95,520,58.67,4000.0,159.87,5800.0,0
-218.54000000000002,12.7,520,58.67,4000.0,159.87,5600.0,0
-218.54000000000002,13.45,520,58.67,4000.0,159.87,5400.0,0
-218.54000000000002,14.2,520,58.67,4000.0,159.87,5000.0,0
-217.06,8.95,520,51.33,5000.0,165.73,7400.0,0
-217.06,9.7,520,51.33,4000.0,165.73,7000.0,0
-217.06,10.45,520,51.33,4000.0,165.73,6400.0,0
-217.06,11.2,520,51.33,4000.0,165.73,6200.0,0
-217.06,11.95,520,51.33,4000.0,165.73,6000.0,0
-217.06,12.7,520,51.33,4000.0,165.73,5400.0,0
-217.06,13.45,520,51.33,4000.0,165.73,5200.0,0
-217.06,14.2,520,51.33,4000.0,165.73,5200.0,0
-215.6,8.95,520,44.0,5000.0,171.6,7400.0,0
-215.6,9.7,520,44.0,4000.0,171.6,6800.0,0
-215.6,10.45,520,44.0,4000.0,171.6,6600.0,0
-215.6,11.2,520,44.0,4000.0,171.6,6000.0,0
-215.6,11.95,520,44.0,4000.0,171.6,5800.0,0
-215.6,12.7,520,44.0,4000.0,171.6,5600.0,0
-215.6,13.45,520,44.0,4000.0,171.6,5200.0,0
-215.6,14.2,520,44.0,4000.0,171.6,5000.0,0
-212.67000000000002,8.2,520,58.67,5500.0,154.0,8000.0,0
-212.67000000000002,8.95,520,58.67,5000.0,154.0,7200.0,0
-212.67000000000002,9.7,520,58.67,4000.0,154.0,6800.0,0
-212.67000000000002,10.45,520,58.67,4000.0,154.0,6400.0,0
-212.67000000000002,11.2,520,58.67,4000.0,154.0,6200.0,0
-212.67000000000002,11.95,520,58.67,4000.0,154.0,5800.0,0
-212.67000000000002,12.7,520,58.67,4000.0,154.0,5600.0,0
-212.67000000000002,13.45,520,58.67,4000.0,154.0,5200.0,0
-212.67000000000002,14.2,520,58.67,4000.0,154.0,5000.0,0
-211.2,8.2,520,51.33,5500.0,159.87,7800.0,0
-211.2,8.95,520,51.33,5000.0,159.87,7200.0,0
-211.2,9.7,520,51.33,4000.0,159.87,6800.0,0
-211.2,10.45,520,51.33,4000.0,159.87,6200.0,0
-211.2,11.2,520,51.33,4000.0,159.87,6000.0,0
-211.2,11.95,520,51.33,4000.0,159.87,5600.0,0
-211.2,12.7,520,51.33,4000.0,159.87,5400.0,0
-211.2,13.45,520,51.33,4000.0,159.87,5200.0,0
-211.2,14.2,520,51.33,4000.0,159.87,5000.0,0
-209.73,8.2,520,44.0,5500.0,165.73,7800.0,0
-209.73,8.95,520,44.0,4500.0,165.73,7000.0,0
-209.73,9.7,520,44.0,4000.0,165.73,6800.0,0
-209.73,10.45,520,44.0,4000.0,165.73,6200.0,0
-209.73,11.2,520,44.0,4000.0,165.73,6000.0,0
-209.73,11.95,520,44.0,4000.0,165.73,5800.0,0
-209.73,12.7,520,44.0,4000.0,165.73,5600.0,0
-209.73,13.45,520,44.0,4000.0,165.73,5200.0,0
-209.73,14.2,520,44.0,4000.0,165.73,5000.0,0
-205.32999999999998,8.2,520,51.33,5500.0,154.0,7600.0,0
-205.32999999999998,8.95,520,51.33,4000.0,154.0,7000.0,0
-205.32999999999998,9.7,520,51.33,4000.0,154.0,6600.0,0
-205.32999999999998,10.45,520,51.33,4000.0,154.0,6200.0,0
-205.32999999999998,11.2,520,51.33,4000.0,154.0,6000.0,0
-205.32999999999998,11.95,520,51.33,4000.0,154.0,5600.0,0
-205.32999999999998,12.7,520,51.33,4000.0,154.0,5400.0,0
-205.32999999999998,13.45,520,51.33,4000.0,154.0,5200.0,0
-205.32999999999998,14.2,520,51.33,4000.0,154.0,5000.0,0
-203.87,8.2,520,44.0,5500.0,159.87,7600.0,0
-203.87,8.95,520,44.0,4000.0,159.87,7000.0,0
-203.87,9.7,520,44.0,4000.0,159.87,6600.0,0
