relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-239.06,20.0,520,73.33,4000.0,165.73,3000.0,0
-237.6,6.0,520,66.0,4000.0,171.6,3500.0,0
-237.6,8.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,10.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,12.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,14.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,16.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,18.0,520,66.0,4000.0,171.6,3000.0,0
-237.6,20.0,520,66.0,4000.0,171.6,3000.0,0
-236.14,6.0,520,58.67,4500.0,177.47,4000.0,0
-236.14,8.0,520,58.67,4000.0,177.47,3500.0,0
-236.14,10.0,520,58.67,4000.0,177.47,3000.0,0
-236.14,12.0,520,58.67,4000.0,177.47,3000.0,0
-236.14,14.0,520,58.67,4000.0,177.47,3000.0,0
-236.14,16.0,520,58.67,4000.0,177.47,3000.0,0
-236.14,18.0,520,58.67,4000.0,177.47,3000.0,0
-236.14,20.0,520,58.67,4000.0,177.47,3000.0,0
-234.66000000000003,6.0,520,51.33,4500.0,183.33,4000.0,0
-234.66000000000003,8.0,520,51.33,4500.0,183.33,3500.0,0
-234.66000000000003,10.0,520,51.33,4500.0,183.33,3500.0,0
-234.66000000000003,12.0,520,51.33,4500.0,183.33,3500.0,0
-234.66000000000003,14.0,520,51.33,4500.0,183.33,3000.0,0
-234.66000000000003,16.0,520,51.33,4500.0,183.33,3000.0,0
-234.66000000000003,18.0,520,51.33,4500.0,183.33,3000.0,0
-234.66000000000003,20.0,520,51.33,4500.0,183.33,3000.0,0
-233.2,6.0,520,73.33,4000.0,159.87,3500.0,0
-233.2,8.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,10.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,12.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,14.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,16.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,18.0,520,73.33,4000.0,159.87,3000.0,0
-233.2,20.0,520,73.33,4000.0,159.87,3000.0,0
-231.73,6.0,520,66.0,4000.0,165.73,3500.0,0
-231.73,8.0,520,66.0,4000.0,165.73,3000.0,0
-231.73,10.0,520,66.0,4000.0,165.73,3000.0,0
-231.73,12.0,520,66.0,4000.0,165.73,3000.0,0
-231.73,14.0,520,66.0,4000.0,165.73,3000.0,0
-231.73,16.0,520,66.0,4000.0,165.73,3000.0,0
-231.73,18.0,520,66.0,4000.0,165.73,3000.0,0
