,drone_speed,drone_horizontal_turn_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
414,73.33,16.0,7100.0,0,183.33,154.0
415,73.33,16.0,7400.0,0,183.33,154.0
416,73.33,16.0,7700.0,0,183.33,154.0
417,73.33,16.0,8000.0,0,183.33,154.0
419,73.33,18.0,5300.0,0,183.33,154.0
420,73.33,18.0,5600.0,0,183.33,154.0
421,73.33,18.0,5900.0,0,183.33,154.0
422,73.33,18.0,6200.0,0,183.33,154.0
423,73.33,18.0,6500.0,0,183.33,154.0
424,73.33,18.0,6800.0,0,183.33,154.0
425,73.33,18.0,7100.0,0,183.33,154.0
426,73.33,18.0,7400.0,0,183.33,154.0
427,73.33,18.0,7700.0,0,183.33,154.0
428,73.33,18.0,8000.0,0,183.33,154.0
430,73.33,20.0,5300.0,0,183.33,154.0
431,73.33,20.0,5600.0,0,183.33,154.0
432,73.33,20.0,5900.0,0,183.33,154.0
433,73.33,20.0,6200.0,0,183.33,154.0
434,73.33,20.0,6500.0,0,183.33,154.0
435,73.33,20.0,6800.0,0,183.33,154.0
436,73.33,20.0,7100.0,0,183.33,154.0
437,73.33,20.0,7400.0,0,183.33,154.0
438,73.33,20.0,7700.0,0,183.33,154.0
439,73.33,20.0,8000.0,0,183.33,154.0
