relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-92.39999999999999,20.0,1039,73.33,2500.0,165.73,5000.0,0
-88.0,6.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,8.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,10.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,12.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,14.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,16.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,18.0,1039,66.0,2500.0,154.0,5000.0,0
-88.0,20.0,1039,66.0,2500.0,154.0,5000.0,0
-86.54,6.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,8.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,10.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,12.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,14.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,16.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,18.0,1039,73.33,2500.0,159.87,5000.0,0
-86.54,20.0,1039,73.33,2500.0,159.87,5000.0,0
-80.67,6.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,8.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,10.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,12.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,14.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,16.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,18.0,1039,73.33,2500.0,154.0,5000.0,0
-80.67,20.0,1039,73.33,2500.0,154.0,5000.0,0
