step,contactLevel,scenario,bounds_x,drone_ascent_rate,drone_direction,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.2544885739633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,violation,overtaking,17000.0,8.0,0.0,4400.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.2544885739633
928,violation,overtaking,17000.0,8.0,0.0,4400.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,violation,overtaking,17000.0,8.0,0.0,4400.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,none,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.768720235023
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,violation,overtaking,17000.0,8.0,0.0,5100.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.768720235023
928,violation,overtaking,17000.0,8.0,0.0,5100.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5100.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,100.000200606,250.43053608033608
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,100.000200606,250.42251634168613
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,100.000200606,250.39999999998656
1160,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,100.000200606,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,112.50022568175,1520.7564433531074
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,112.50022568175,250.4019073196678
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,112.50022568175,250.40396193204134
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,112.50022568175,250.39999999998656
1031,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,112.50022568175,1520.7567574038023
1031,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,112.50022568175,1520.7570957096543
1031,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,112.50022568175,1520.7564433531074
928,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,4500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,4500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,4500.0,125.0002507575,1520.7567370708168
928,violation,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,6000.0,125.0002507575,250.47455049419668
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,6000.0,125.0002507575,250.42251634168633
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,6000.0,125.0002507575,250.40178383206015
928,none,overtaking,17000.0,8.0,0.0,5800.0,30.0000601818,10000.0,7500.0,125.0002507575,1520.768720235023
928,none,overtaking,17000.0,8.0,0.0,5800.0,40.000080242399996,10000.0,7500.0,125.0002507575,1520.760150941266
928,none,overtaking,17000.0,8.0,0.0,5800.0,50.000100303,10000.0,7500.0,125.0002507575,1520.7567370708168
1160,none,overtaking,17000.0,8.0,0.0,6500.0,30.0000601818,10000.0,4500.0,100.000200606,1520.7614715666243
1160,none,overtaking,17000.0,8.0,0.0,6500.0,40.000080242399996,10000.0,4500.0,100.000200606,1520.760150941266
1160,none,overtaking,17000.0,8.0,0.0,6500.0,50.000100303,10000.0,4500.0,100.000200606,1520.7564433531074
